iso3,year,population,scenario
SDN,2050,71146460.05247097,SSP1
SDN,2055,72239030.11267005,SSP1
SDN,2060,72863868.16768219,SSP1
SDN,2065,73030152.74694355,SSP1
SDN,2070,72742332.7038342,SSP1
SDN,2075,71992921.62519003,SSP1
SDN,2080,70796235.5264187,SSP1
SDN,2085,69170514.42994912,SSP1
SDN,2090,67175381.99543796,SSP1
SDN,2095,64880184.79316312,SSP1
SDN,2100,62355687.83855474,SSP1
SEN,2010,12433727.999999996,SSP1
SEN,2015,13824360.214879047,SSP1
SEN,2020,15037938.205834636,SSP1
SEN,2025,16122840.482067136,SSP1
SEN,2030,17074299.170338888,SSP1
SEN,2035,17935846.445092887,SSP1
SEN,2040,18648943.874318942,SSP1
SEN,2045,19170206.299507845,SSP1
SEN,2050,19505755.60606386,SSP1
SEN,2055,19709591.797334183,SSP1
SEN,2060,19813907.167018253,SSP1
SEN,2065,19862662.996982377,SSP1
SEN,2070,19836946.1695773,SSP1
SEN,2075,19731095.11193164,SSP1
SEN,2080,19547161.25921246,SSP1
SEN,2085,19295613.007440124,SSP1
SEN,2090,18985944.02936906,SSP1
SEN,2095,18624424.816255923,SSP1
SEN,2100,18218842.074838035,SSP1
SGP,2010,5086417.99973206,SSP1
SGP,2015,5517864.237142576,SSP1
SGP,2020,5706345.283302976,SSP1
SGP,2025,5875592.1713906275,SSP1
SGP,2030,6027236.702484012,SSP1
SGP,2035,6162866.536312498,SSP1
SGP,2040,6272591.155276722,SSP1
SGP,2045,6346184.960913467,SSP1
SGP,2050,6377927.6755951345,SSP1
SGP,2055,6369891.019627954,SSP1
SGP,2060,6325824.80669794,SSP1
SGP,2065,6233291.197910822,SSP1
SGP,2070,6093233.781509531,SSP1
SGP,2075,5897440.877952666,SSP1
SGP,2080,5655738.258850448,SSP1
SGP,2085,5377979.930678606,SSP1
SGP,2090,5054504.034678522,SSP1
SGP,2095,4701186.252456791,SSP1
SGP,2100,4332580.030104678,SSP1
SLB,2010,538148,SSP1
SLB,2015,595816.8367916472,SSP1
SLB,2020,647277.9830686433,SSP1
SLB,2025,693078.9992290683,SSP1
SLB,2030,733884.2990273269,SSP1
SLB,2035,770829.833513997,SSP1
SLB,2040,801804.6309985626,SSP1
SLB,2045,825563.86128448,SSP1
SLB,2050,842445.9881469412,SSP1
SLB,2055,853540.0377871647,SSP1
SLB,2060,859341.7707278511,SSP1
SLB,2065,860166.8108534141,SSP1
SLB,2070,855979.9177918746,SSP1
SLB,2075,846678.6027725809,SSP1
SLB,2080,832412.5216036373,SSP1
SLB,2085,813536.6316440166,SSP1
SLB,2090,790392.1400144311,SSP1
SLB,2095,763654.4590967438,SSP1
SLB,2100,734061.2675461213,SSP1
SLE,2010,5867535.999999998,SSP1
SLE,2015,6518134.126448399,SSP1
SLE,2020,7164110.507415447,SSP1
SLE,2025,7789144.27019819,SSP1
SLE,2030,8367125.4294635365,SSP1
SLE,2035,8918400.797435444,SSP1
SLE,2040,9414520.58007166,SSP1
SLE,2045,9836810.90469413,SSP1
SLE,2050,10187024.047852032,SSP1
SLE,2055,10469028.98986621,SSP1
SLE,2060,10688979.051131267,SSP1
SLE,2065,10840230.566389654,SSP1
SLE,2070,10916919.19923354,SSP1
SLE,2075,10918310.620051604,SSP1
SLE,2080,10847902.61680313,SSP1
SLE,2085,10713487.608291281,SSP1
SLE,2090,10522078.160985483,SSP1
SLE,2095,10281169.844108243,SSP1
SLE,2100,9998989.930282274,SSP1
SLV,2010,6192992.999999999,SSP1
SLV,2015,6271030.269618197,SSP1
SLV,2020,6286916.828104926,SSP1
SLV,2025,6232766.264654116,SSP1
SLV,2030,6122881.583173367,SSP1
SLV,2035,5985004.305328703,SSP1
SLV,2040,5822051.863639228,SSP1
SLV,2045,5634527.117597553,SSP1
SLV,2050,5425291.773063348,SSP1
SLV,2055,5201868.982788235,SSP1
SLV,2060,4967395.412805032,SSP1
SLV,2065,4745484.435725757,SSP1
SLV,2070,4533430.825742402,SSP1
SLV,2075,4328973.83748016,SSP1
SLV,2080,4130786.317443424,SSP1
SLV,2085,3936679.1596712843,SSP1
SLV,2090,3736182.97634291,SSP1
SLV,2095,3527760.216022935,SSP1
SLV,2100,3318178.509759128,SSP1
SOM,2010,9330872,SSP1
SOM,2015,10167054.164804151,SSP1
SOM,2020,10869906.953362511,SSP1
SOM,2025,11494687.059747687,SSP1
SOM,2030,12045223.6289918,SSP1
SOM,2035,12522202.967139842,SSP1
SOM,2040,12868805.451318674,SSP1
SOM,2045,13054635.252745084,SSP1
SOM,2050,13109227.82041784,SSP1
SOM,2055,13053698.799428046,SSP1
SOM,2060,12937823.338674817,SSP1
SOM,2065,12805063.655183345,SSP1
SOM,2070,12667477.778145215,SSP1
SOM,2075,12501234.51299652,SSP1
SOM,2080,12316776.534729501,SSP1
SOM,2085,12118841.090108825,SSP1
SOM,2090,11909169.142603798,SSP1
SOM,2095,11691213.8732753,SSP1
SOM,2100,11467173.41943124,SSP1
SRB,2010,9856221.999999996,SSP1
SRB,2015,9769883.98409573,SSP1
SRB,2020,9703214.825023027,SSP1
SRB,2025,9659542.00935862,SSP1
SRB,2030,9619969.50123891,SSP1
SRB,2035,9580217.433867961,SSP1
SRB,2040,9534091.545095788,SSP1
SRB,2045,9462936.903649466,SSP1
SRB,2050,9361415.311490547,SSP1
SRB,2055,9232235.448900528,SSP1
SRB,2060,9072216.008677114,SSP1
SRB,2065,8852183.113496833,SSP1
SRB,2070,8576571.787642393,SSP1
SRB,2075,8250931.446449316,SSP1
SRB,2080,7884933.105654907,SSP1
SRB,2085,7492660.503851012,SSP1
SRB,2090,7063949.919162852,SSP1
SRB,2095,6598840.332782799,SSP1
SRB,2100,6115368.756113461,SSP1
STP,2010,165406.98656170402,SSP1
STP,2015,174274.3952071394,SSP1
STP,2020,180890.23562650455,SSP1
STP,2025,185491.10377706785,SSP1
STP,2030,188012.76404880118,SSP1
STP,2035,188879.13892429823,SSP1
STP,2040,187890.42572084328,SSP1
STP,2045,185146.36745494616,SSP1
STP,2050,181071.44253786086,SSP1
STP,2055,176123.01636180255,SSP1
STP,2060,170428.18007819375,SSP1
STP,2065,164861.96083440547,SSP1
STP,2070,159293.14319070624,SSP1
STP,2075,153717.86324593172,SSP1
STP,2080,148191.44234661944,SSP1
STP,2085,142727.75317440944,SSP1
STP,2090,137304.8923706324,SSP1
STP,2095,131951.8061793103,SSP1
STP,2100,126728.79946685945,SSP1
SUR,2010,524636,SSP1
SUR,2015,545570.3595885471,SSP1
SUR,2020,563330.0234413554,SSP1
SUR,2025,577637.8937968363,SSP1
SUR,2030,587793.9700214233,SSP1
SUR,2035,594917.5376111269,SSP1
SUR,2040,598431.1467256051,SSP1
SUR,2045,598179.185694233,SSP1
SUR,2050,594384.325096407,SSP1
SUR,2055,587691.906866448,SSP1
SUR,2060,578500.9667388044,SSP1
SUR,2065,567205.3635914231,SSP1
SUR,2070,554003.4836483133,SSP1
SUR,2075,539115.7090744239,SSP1
SUR,2080,522645.6594479992,SSP1
SUR,2085,504882.72110321466,SSP1
SUR,2090,485878.1067821799,SSP1
SUR,2095,465844.1351346532,SSP1
SUR,2100,443585.96260834695,SSP1
SVK,2010,5462118.999999999,SSP1
SVK,2015,5545671.408163219,SSP1
SVK,2020,5625590.503894077,SSP1
SVK,2025,5690086.961048827,SSP1
SVK,2030,5728441.115666516,SSP1
SVK,2035,5739114.222567911,SSP1
SVK,2040,5737299.0688455785,SSP1
SVK,2045,5731029.919556371,SSP1
SVK,2050,5718775.865995585,SSP1
SVK,2055,5694145.594669748,SSP1
SVK,2060,5652782.935810963,SSP1
SVK,2065,5583770.480544631,SSP1
SVK,2070,5491258.169828788,SSP1
SVK,2075,5383041.955477879,SSP1
SVK,2080,5263430.241341074,SSP1
SVK,2085,5118481.949629442,SSP1
SVK,2090,4958832.062058973,SSP1
SVK,2095,4794966.64834512,SSP1
SVK,2100,4630204.739303383,SSP1
SVN,2010,2029680,SSP1
SVN,2015,2068463.4086362391,SSP1
SVN,2020,2102948.805521494,SSP1
SVN,2025,2133094.9863140536,SSP1
SVN,2030,2160202.653392086,SSP1
SVN,2035,2187123.278305494,SSP1
SVN,2040,2216100.2193986527,SSP1
SVN,2045,2245045.1862136032,SSP1
SVN,2050,2270607.65863297,SSP1
SVN,2055,2291175.1148693957,SSP1
SVN,2060,2307645.0170966573,SSP1
SVN,2065,2317625.8130484717,SSP1
SVN,2070,2323052.5662096534,SSP1
SVN,2075,2317782.5006307983,SSP1
SVN,2080,2301471.7728407364,SSP1
SVN,2085,2275470.2608247288,SSP1
SVN,2090,2242283.180307114,SSP1
SVN,2095,2200103.363542324,SSP1
SVN,2100,2149512.712243824,SSP1
SWE,2010,9379684.649816984,SSP1
SWE,2015,9792530.295938272,SSP1
SWE,2020,10233968.325836867,SSP1
SWE,2025,10691515.084177712,SSP1
SWE,2030,11122851.370752778,SSP1
SWE,2035,11535346.005223416,SSP1
SWE,2040,11959788.452299343,SSP1
SWE,2045,12409541.465542201,SSP1
SWE,2050,12875398.9158034,SSP1
SWE,2055,13339844.486142037,SSP1
SWE,2060,13787984.439558402,SSP1
SWE,2065,14193977.323533548,SSP1
SWE,2070,14551831.93206371,SSP1
SWE,2075,14857130.969167799,SSP1
SWE,2080,15108202.451541955,SSP1
SWE,2085,15262821.436493723,SSP1
SWE,2090,15324345.67651644,SSP1
SWE,2095,15311227.963676022,SSP1
SWE,2100,15245244.76317605,SSP1
SWZ,2010,1186056,SSP1
SWZ,2015,1254161.986497217,SSP1
SWZ,2020,1320325.1791543711,SSP1
SWZ,2025,1375184.2712028478,SSP1
SWZ,2030,1417403.5237776362,SSP1
SWZ,2035,1452744.3915023925,SSP1
SWZ,2040,1481654.6742463538,SSP1
SWZ,2045,1503911.0069115944,SSP1
SWZ,2050,1518842.7800057826,SSP1
SWZ,2055,1526120.9911589124,SSP1
SWZ,2060,1524842.1123333664,SSP1
SWZ,2065,1514708.9904458758,SSP1
SWZ,2070,1495854.7733977118,SSP1
SWZ,2075,1469974.6782136424,SSP1
SWZ,2080,1438091.1812110872,SSP1
